id,start,end,location,use_gtn,attendance,site
245,2019-12-06,2019-12-06,FR,N,35,eu
216,2019-06-24,2019-06-21,DE,N,5,eu
180,2018-11-27,2018-11-27,RS,N,9,eu
191,2019-03-13,2019-03-14,DE,N,20,eu
394,2021-05-10,2021-05-10,US,N,25,eu
335,2020-10-26,2020-10-27,NO,Y,25,eu
235,2019-11-04,2020-01-15,FR,N,100,eu
378,2021-11-01,2021-11-05,GB,Y,20,eu
439,2021-11-03,2021-11-05,GB,Y,30,eu
168,2018-09-25,2018-09-28,KE,Y,16,eu
190,2019-03-07,2019-03-11,ZA,Y,26,eu
391,2021-03-22,2021-03-22,CZ,Y,40,eu
174,2018-11-05,2018-11-25,FR,N,80,eu
437,2021-11-01,2021-11-21,SE,Y,29,eu
283,2020-06-22,2020-06-26,DE,Y,350,eu
166,2018-09-04,2018-09-05,NL,N,25,eu
419,2021-10-08,2021-10-12,GR,Y,18,eu
225,2019-09-23,2019-12-11,HU,Y,7,eu
436,2021-11-22,2021-12-03,FR,N,30,eu
248,2020-01-13,2020-01-24,AU,Y,8,eu
224,2019-09-27,2019-12-13,HU,N,22,eu
271,2020-04-08,2020-04-08,DE,Y,25,eu
414,2021-06-28,2021-07-02,DE,Y,100,eu
381,2021-02-15,2021-02-24,DE,N,20,eu
405,2021-06-04,2021-06-04,GB,Y,10,eu
189,2019-03-04,2019-03-04,GB,N,30,eu
427,2021-09-15,2021-09-15,DE,Y,30,eu
266,2020-03-06,2020-03-06,BE,N,25,eu
187,2019-02-25,2019-03-01,DE,Y,30,eu
342,2020-12-08,2020-12-08,GB,Y,25,eu
369,2021-04-28,2021-04-28,CH,Y,25,eu
348,2020-11-18,2020-11-20,DE,N,6,eu
444,2021-11-17,2021-12-01,ES,Y,25,eu
410,2021-06-18,2021-06-18,DE,Y,15,eu
172,2018-10-17,2018-10-19,NL,Y,30,eu
343,2020-11-18,2020-12-14,ES,Y,30,eu
274,2020-05-06,2020-05-06,GB,N,20,eu
328,2020-10-29,2020-10-30,NL,Y,30,eu
373,2021-02-08,2021-02-19,US,Y,26,eu
170,2018-10-01,2018-10-23,AU,Y,10,eu
178,2018-11-22,2018-11-23,NL,Y,15,eu
329,2020-11-05,2020-11-06,NL,Y,30,eu
300,2020-10-12,2020-10-12,GB,N,35,eu
346,2020-11-12,2020-11-12,AU,Y,35,eu
268,2020-03-23,2020-03-23,PL,N,15,eu
198,2019-04-03,2019-04-03,RS,Y,12,eu
431,2021-10-21,2021-10-31,GB,Y,25,eu
451,2021-11-05,2021-11-07,KE,Y,25,eu
299,2020-09-21,2020-09-21,IT,Y,20,eu
361,2020-12-04,2020-12-04,NL,Y,20,eu
368,2021-01-26,2021-01-28,GB,N,20,eu
463,2022-01-18,2022-01-21,FR,N,9,eu
219,2019-10-22,2019-11-05,GB,N,55,eu
177,2018-11-20,2018-11-20,RS,N,9,eu
416,2021-08-09,2021-08-12,DE,Y,500,eu
182,2018-12-04,2018-12-04,RS,N,9,eu
251,2020-02-04,2020-03-24,SE,Y,23,eu
453,2021-11-18,2022-01-01,GB,Y,60,eu
392,2021-03-22,2021-03-24,DE,N,2,eu
263,2020-02-28,2020-03-02,ZA,Y,24,eu
428,2021-09-24,2021-10-01,SE,Y,26,eu
209,2019-05-15,2019-05-15,RS,Y,12,eu
486,2022-03-29,2022-04-14,FR,Y,15,eu
382,2021-03-18,2021-03-19,DE,Y,30,eu
290,2020-07-15,2020-07-20,DE,N,1,eu
367,2021-01-20,2021-05-10,US,N,11,eu
184,2019-01-17,2019-01-18,RS,Y,50,eu
446,2021-12-01,2021-12-01,GB,N,30,eu
532,2022-11-02,2022-11-04,GB,N,40,eu
330,2020-10-13,2020-10-13,AU,Y,29,eu
200,2019-05-01,2019-08-01,US,Y,25,eu
193,2019-03-22,2019-03-22,DE,Y,25,eu
485,2022-04-19,2022-04-22,BE,Y,8,eu
484,2022-04-04,2022-04-04,DE,Y,23,eu
270,2020-04-27,2020-05-20,FR,N,18,eu
461,2022-01-12,2022-01-12,GB,Y,10,eu
458,2021-11-29,2021-12-03,FR,N,17,eu
229,2019-09-24,2019-12-10,GB,Y,10,eu
460,2022-01-12,2022-01-12,DE,Y,14,eu
406,2021-06-04,2021-06-04,FR,Y,12,eu
456,2021-11-29,2021-12-06,NL,N,32,eu
231,2020-03-16,2020-04-10,FR,N,20,eu
339,2020-11-12,2020-11-13,GB,Y,30,eu
445,2021-11-29,2021-11-29,GB,N,30,eu
452,2021-11-15,2021-11-24,IN,Y,50,eu
408,2021-06-03,2021-06-04,NL,N,27,eu
425,2021-09-09,2021-09-23,NL,Y,70,eu
195,2019-03-26,2019-03-26,DE,Y,20,eu
201,2019-05-01,2019-06-30,MD,Y,70,eu
326,2020-08-27,2020-12-17,US,N,12,eu
192,2019-03-21,2019-03-21,FR,Y,15,eu
295,2020-07-18,2020-07-19,DE,Y,30,eu
196,2019-03-27,2019-03-29,ES,Y,18,eu
297,2020-09-17,2020-09-18,SE,Y,10,eu
255,2020-03-04,2020-03-04,FR,Y,15,eu
277,2020-05-13,2020-05-13,GB,N,20,eu
411,2021-06-25,2021-06-25,DE,Y,15,eu
289,2020-07-16,2020-07-18,US,Y,80,eu
252,2020-02-29,2020-02-29,US,Y,30,eu
287,2020-07-16,2020-07-18,CA,Y,25,eu
380,2021-02-23,2021-02-26,DE,Y,17,eu
450,2021-11-09,2021-11-13,IN,Y,180,eu
288,2020-07-16,2020-07-17,NL,Y,35,eu
250,2020-01-22,2020-01-24,NL,Y,20,eu
429,2021-11-22,2021-11-23,FR,N,18,eu
349,2020-11-19,2020-11-19,IR,Y,30,eu
347,2020-11-14,2020-11-28,AU,Y,68,eu
243,2019-12-09,2019-12-13,CA,N,5,eu
356,2020-12-01,2020-12-02,AU,N,40,eu
433,2021-10-25,2021-12-13,US,Y,15,eu
204,2019-05-13,2019-05-13,GB,N,16,eu
254,2020-02-14,2020-02-14,FR,Y,15,eu
492,2022-05-02,2022-05-02,DE,Y,25,eu
362,2020-12-23,2020-12-30,RS,Y,15,eu
269,2020-03-17,2020-03-23,ES,Y,38,eu
320,2020-11-23,2020-11-25,FR,N,20,eu
240,2019-11-14,2019-11-15,GH,Y,15,eu
324,2020-09-29,2020-09-29,AU,N,25,eu
341,2020-11-06,2020-11-06,GB,Y,80,eu
372,2021-02-24,2021-02-25,ES,Y,55,eu
199,2019-04-08,2019-04-29,FR,N,15,eu
430,2021-10-21,2021-10-29,FR,N,10,eu
275,2020-06-01,2020-06-05,GB,Y,33,eu
413,2021-07-05,2021-07-07,PK,N,25,eu
490,2022-04-25,2022-04-25,DE,Y,25,eu
215,2019-11-15,2019-11-24,BR,Y,20,eu
165,2018-08-29,2018-08-29,NL,Y,30,eu
462,2022-01-18,2022-05-31,US,N,20,eu
459,2021-12-15,2021-12-30,RS,Y,12,eu
344,2020-11-17,2020-11-18,AU,Y,30,eu
213,2019-06-10,2019-06-10,GB,N,25,eu
238,2019-11-28,2019-11-29,DE,N,6,eu
323,2020-10-16,2021-03-19,GB,Y,53,eu
203,2019-05-10,2019-05-10,GB,Y,15,eu
454,2021-12-08,2021-12-09,FR,N,22,eu
176,2018-11-19,2018-11-23,FR,N,10,eu
333,2020-10-26,2020-12-31,GB,N,70,eu
183,2018-12-06,2018-12-07,DE,Y,25,eu
401,2021-05-25,2021-05-25,BE,Y,25,eu
161,2018-06-20,2018-07-09,DE,N,2,eu
319,2020-09-28,2020-12-08,HU,N,50,eu
338,2020-10-26,2020-10-26,DE,Y,30,eu
438,2021-10-15,2022-01-10,FR,Y,60,eu
376,2021-03-29,2021-04-09,US,Y,26,eu
218,2019-09-19,2019-09-19,GB,N,12,eu
321,2020-09-24,2020-09-25,AU,Y,25,eu
256,2020-03-06,2020-03-06,NO,N,35,eu
364,2021-01-25,2021-02-10,IL,Y,23,eu
7,2022-07-07,2022-07-20,US,Y,80,us
5,2022-05-05,2022-05-05,US,Y,10,us
10,2022-11-23,2022-11-24,US,N,30,us
6,2022-05-18,2022-05-18,FR,N,20,us
12,2022-12-12,2022-12-13,US,N,10,us
9,2022-11-07,2022-11-08,US,N,30,us
13,2023-01-17,2023-01-17,US,N,50,us
8,2022-10-31,2022-11-01,US,N,30,us
11,2022-12-05,2022-12-06,US,N,10,us
5,2022-02-22,2022-02-24,FR,Y,16,fr
6,2022-03-02,2022-03-04,FR,N,12,fr
7,2022-03-24,2022-03-28,FR,N,12,fr
9,2022-03-14,2022-03-18,FR,Y,50,fr
10,2022-03-21,2022-03-25,FR,Y,22,fr
13,2022-03-14,2022-03-16,FR,Y,14,fr
14,2022-03-28,2022-03-30,FR,Y,9,fr
15,2022-05-24,2022-05-27,GB,Y,24,fr
16,2022-06-14,2022-06-15,FR,Y,10,fr
17,2022-06-27,2022-06-28,FR,N,7,fr
18,2022-09-26,2022-10-05,FR,N,80,fr
19,2022-08-23,2022-08-28,GR,Y,30,fr
21,2022-09-25,2022-09-30,FR,Y,20,fr
22,2022-10-10,2022-10-13,FR,N,12,fr
23,2022-10-12,2022-10-17,FR,Y,14,fr
24,2022-10-05,2022-10-05,FR,N,20,fr
25,2022-10-13,2022-10-13,FR,N,10,fr
27,2022-11-07,2022-11-20,FR,Y,66,fr
28,2022-11-24,2022-11-24,FR,Y,12,fr
29,2022-11-23,2022-11-24,FR,N,14,fr
30,2022-12-01,2022-12-01,FR,Y,25,fr
32,2022-12-09,2022-12-12,FR,N,7,fr
33,2022-12-14,2022-12-14,FR,N,22,fr
34,2023-03-06,2023-03-24,FR,Y,26,fr
36,2023-04-03,2023-04-06,FR,N,17,fr
